name	id	total_followers	total_following	total_posts	total_likes_sum	total_likes_mean	total_likes_median	total_retweets_sum	total_retweets_mean	total_retweets_median	total_replies_sum	total_replies_mean	total_replies_median	posts_count
revista piauí	23941036	1463102	219	15185	1177	65.389	54.5	299	16.611	13.5	72	4.0	2.5	18
UOL Notícias	14594698	2484487	76	356162	5506	183.533	56.0	1490	49.667	12.5	1550	51.667	9.5	30
Época	21207962	2568635	35	100781	2205	105.0	25.0	631	30.048	4.0	548	26.095	5.0	21
Jornal O Globo	54341363	5664150	8047	323157	6913	230.433	61.0	1273	42.433	9.5	977	32.567	10.0	30
VEJA	17715048	8108428	23288	273967	8880	296.0	76.0	1848	61.6	11.5	2680	89.333	14.0	30
Portal R7.com	65473559	4556028	141	350268	1063	36.655	25.0	162	5.586	4.0	63	2.172	1.0	29
GloboNews	142393421	3680439	125	90386	2372	107.818	88.5	280	12.727	8.5	473	21.5	11.5	22
EL PAÍS Brasil	2174537102	343142	296	45334	1166	194.333	78.0	229	38.167	17.0	81	13.5	4.0	6
Folha de S.Paulo	14594813	6396057	184166	348385	7659	273.536	91.0	1804	64.429	12.0	1615	57.679	21.5	28
CartaCapital	16632084	1854824	496	95954	6607	220.233	138.0	2092	69.733	29.0	788	26.267	16.5	30
G1	8802752	9889538	102	637165	12248	437.429	148.5	1480	52.857	17.0	795	28.393	13.5	28
Revista ISTOÉ	29913589	1414923	412	51637	5373	179.1	75.5	962	32.067	8.0	1147	38.233	13.5	30
Estadão	9317502	6155874	63450	298875	3315	110.5	55.5	615	20.5	10.0	714	23.8	9.0	30
BBC News Brasil	790680	2051306	905	162363	1439	47.967	31.5	322	10.733	6.0	126	4.2	2.0	30
